Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
1,dalakhani ire m.ps.+,ckY1NENrK295WjZodi9ZOVFBWjhVZz09,8,Par: DARSHAAN  et DALTAWA (MISWAKI),(Corde:14),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,56 kg,914.24,,,,,3.0,S.A.  AGA KHAN
2,mubtaker usa m.ps. 6 a.,dWFMZFVIYkVPaHBSMlNDM1BlbVNLQT09,1,Par: SILVER HAWK  et GAZAYIL (IRISH RIVER),3/4 (Corde:10),,SHADWELL FRANCE,MP. TREGONING,RICHARD-JAMES  HILLS,"59,5kg",365.76,,,,,,WW. ROSENTHAL
3,high chaparral ire m.ps. 4 a.,YjZpZDB0a1NCSGZsSjViT0RnUXNSZz09,4,Par: SADLER'S WELLS  et KASORA (DARSHAAN),5.L (Corde:01),,MICHAEL TABOR/MME JOHN MAGNIER,AP. O'BRIEN,MR MICHAEL J.  KINANE,"59,5kg",182.88,,,,,1.0,S. COUGHLAN
4,doyen ire m.ps. 3 a.,NlJrb3dlZE1weW9WdEFNQjZEdmZudz09,10,Par: SADLER'S WELLS  et MOON CACTUS (KRIS),1.5 (Corde:04),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,LANFRANCO  DETTORI,56 kg,91.36,,,,,,CHEIK MOBR. AL MAKTOUM
5,vinnie roe ire m.ps. 5 a.,VDJ1VEd0bmJWWmw4Q2pBVTd1R0hCUT09,5,Par: DEFINITE ARTICLE  et KAYU (TAP ON WOOD),1.5 (Corde:13),,SEAMUS SHERIDAN/MICHAEL WATT,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,"59,5kg",45.76,,,,,,MME V. MOERAN
6,black sam bellamy ire m.ps. 4 a.,eW9wL1M0ajNpYjhGTkRXb2RXNWx4Zz09,3,Par: SADLER'S WELLS  et URBAN SEA (MISWAKI),1.5 (Corde:06),,MICHAEL TABOR/MME JOHN MAGNIER,AP. O'BRIEN,JAMES PETER  SPENCER,"59,5kg",,,,,,1.0,"SUNDERLAND HOLDING INC.,  ORPENDALE"
7,dai jin gb m.ps. 3 a.,VnhJSU9ycWpRK2NlZ0hBWktFZG9rZz09,14,Par: PEINTRE CELEBRE  et DAWLAH (SHIRLEY HEIGHTS),ENC (Corde:05),,WH SPORT INTERNATIONAL,A. SCHUTZ,OLIVIER  PESLIER,56 kg,,,,,,,GESTUT SCHLENDERHAN
8,bollin eric gb m.ps. 4 a.,Nyt6Z0J5ei96T21VMFdEc3F5RUsyZz09,7,Par: SHAAMIT  et BOLLIN ZOLA (ALZAO),3.L (Corde:09),,SIR NEIL  WESTBROOK,TD. EASTERBY,KEVIN  DARLEY,"59,5kg",,,,,,,"SIR N. WESTBROOK,LADY  WESTBROOK"
9,ange gabriel  m.ps. 5 a.,ZXdFYVpzSTA1aG9xWko4U0tNTUpNUT09,2,Par: KALDOUNEVEES  et MOUNT GABLE (HEAD FOR HEIGHTS),3.L (Corde:07),,MME HENRI  DEVIN,E. LIBAUD,THIERRY  JARNET,"59,5kg",,,,,,,MME H. DEVIN
10,policy maker (ire) m.ps. 3 a.,VHBBQW5GSkhiWkNXaER1cEFYd1Jadz09,11,Par: SADLER'S WELLS  et PALMERAIE (LEAR FAN),8.L (Corde:08),,ECURIE WILDENSTEIN,E. LELLOUCHE,MR DOMINIQUE  BOEUF,56 kg,,,,,,,DAYTON INVESTMENTS LTD
--,first charter gb m.ps. 4 a.,dW05aEZtVHNwbEVzSkNsblZ0UWFDdz09,6,Par: POLISH PRECEDENT  et BY CHARTER (SHIRLEY HEIGHTS),(Corde:12),,SAEED  SUHAIL,SIR MR. STOUTE,BRETT  DOYLE,"59,5kg",,,,S,,2.0,W. & R. BARNETT LTD
--,DIYAPOUR  H.PS.+,OEhmVHZTSFBtZ3hoeFBRSktGWTNoQT09,9,Par: ALHAARTH  et DIYAWARA (DOYOUN),(Corde:03),,S.A.   AGA KHAN,A.DE ROYER DUPRE,THIERRY  GILLET,56 kg,,,,,,3.0,S.A.  AGA KHAN
--,kris kin usa m.ps. 3 a.,cTBPNGc4VW10WnRzT3FYNld2RGNmUT09,13,Par: KRIS S  et ANGEL IN MY HEART (RAINBOW QUEST),(Corde:02),,SAEED  SUHAIL,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,56 kg,,,,,,2.0,FLAXMAN HOLDINGS LTD
NP,FONTANESI,cldpOTRyUFpIeTNTdlNFZzJGTXNPZz09,12,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,
